Reference, Value, Footprint, Datasheet
"U1","ESP32-WROOM-32U","smopla:ESP32-WROOM-32_HANDSOLDER","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"U2","A6211","sensact:SOIC-8_3.9x4.9mm_Pitch1.27mm_pad_handsolder",""
"C1","47u/63V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C4","2u2/100V","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C8","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D2","D","Diode_SMD:D_SMA_Handsoldering","~"
"L2","47uH","liebler_PASSIVES:L_1040","~"
"R1","47k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C10","2u2/100V","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J5","LED CC","liebler_CONN:PhoenixContact_MSTBV_2,5_2-G-5,08_1x02_P5.08mm_Vertical","~"
"R2","R300","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C2","2u2/100V","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"Q1","N","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.irf.com/product-info/datasheets/data/irliz44n.pdf"
"Q2","N","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.irf.com/product-info/datasheets/data/irliz44n.pdf"
"Q3","N","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.irf.com/product-info/datasheets/data/irliz44n.pdf"
"Q4","N","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.irf.com/product-info/datasheets/data/irliz44n.pdf"
"J1","48V","liebler_CONN:PhoenixContact_MSTBV_2,5_2-G-5,08_1x02_P5.08mm_Vertical","~"
"Q5","N","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.irf.com/product-info/datasheets/data/irliz44n.pdf"
"H1","H","MountingHole:MountingHole_3.2mm_M3","~"
"H2","H","MountingHole:MountingHole_3.2mm_M3","~"
"J2","Conn_01x03","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBVA_2,5_3-G-7,62_1x03_P7.62mm_Vertical","~"
"J3","Conn_01x03","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBVA_2,5_3-G-7,62_1x03_P7.62mm_Vertical","~"
"K2","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"K3","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"K4","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"K1","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"C12","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C14","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C13","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"H3","H","MountingHole:MountingHole_3.2mm_M3","~"
"H4","H","MountingHole:MountingHole_3.2mm_M3","~"
"U5","AMS1117-3.3","smopla:SOT-223-3_TabPin2_HANDSOLDER","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"C19","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C17","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C16","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R13","k22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D3","POWER","LED_THT:LED_D5.0mm","~"
"C18","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C15","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R9","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R15","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R18","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R22","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R17","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R21","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R19","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q7","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R6","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q8","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R7","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q9","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R8","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"J7","EXT1","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"J8","PWM_OUT","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","~"
"K6","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"Q10","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R23","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q11","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R24","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"PS1","HLK-5M05","liebler_MODULES:CONV_HLK-5M05","http://www.hlktech.net/product_detail.php?ProId=54"
"RV1","10D561K","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~"
"J9","230V","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBVA_2,5_2-G-7,62_1x02_P7.62mm_Vertical","~"
"R25","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R26","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"J11","EXT2","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"J12","OW","liebler_CONN:KF250-3.5-3P-A","~"
"H5","H","MountingHole:MountingHole_3.2mm_M3","~"
"R27","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP3","EN","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~"
"U6","RF","RF_Module:nRF24L01_Breakout","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"C20","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C21","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C22","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J4","PROG","liebler_CONN:IDC_2x03_P1.27mm_Vertical","~"
"U7","RX470B","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"D5","INFO","liebler_SEMICONDUCTORS:WS2812b_handsolder","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D4","D","Diode_SMD:D_SMA_Handsoldering","~"
"J13","RGB","liebler_CONN:KF250-3.5-3P-A","~"
"R29","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R32","k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D6","NUP2105L","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF"
"SW1","TERM OFF ON","liebler_MECH:SS12D00","~"
"R33","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"F1","T0.5","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"D8","LPWM5","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R35","k22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D9","LPWM1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R36","k22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q6","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"U4","ISO1050DUB","liebler_SEMICONDUCTORS:SOP-8_6.62x9.15mm_P2.54mm_handsolder","http://www.ti.com/lit/ds/symlink/iso1050.pdf"
"M1","BxxyyS-1WR","liebler_MODULES:BxxxxS-1W",""
"C26","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C27","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J14","CAN","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","~"
"K5","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"SW2","RESET","liebler_MECH:SW_Push_1P1T_NO_6x6mm_H9.5mm","~"
"R3","k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C3","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R4","Rxxx","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"JP1","CE","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"JP2","IRQ","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"C24","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C25","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C11","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C9","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J16","24V","liebler_CONN:PhoenixContact_MSTBV_2,5_2-G-5,08_1x02_P5.08mm_Vertical","~"
"J15","PWM_OUT","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical","~"
"U9","MAX98357_MODULE","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"U8","EL817","liebler_SEMICONDUCTORS:SO-4_7.6x3.6mm_P2.54mm_handsolder","http://www.everlight.com/file/ProductFile/EL817.pdf"
"D1","MAINS","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C23","22n/250V","Capacitor_THT:C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT","~"
"R30","470K","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R31","470K","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R28","3k3","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R16","3k3","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"D10","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D11","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D12","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D13","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D14","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D15","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"JP3","5Vx","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J10","CAN","liebler_CONN:KF250-3.5-3P-A","~"
"U3","LM2596Board","liebler_MODULES:LM2596HV",""
