Comment,Designator,Footprint,LCSC,Quantity
AMS1117-12,U7,SOT-223-3_TabPin2_HANDSOLDER,,1
ROT_EXT,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical_smallerCourtyard",,1
10u,C55,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C54,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C53,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C48,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
BaseConnector,J3,IDC-Header_2x05_P2.54mm_Vertical,,1
AMS1117-3.3,U4,SOT-223-3_TabPin2_HANDSOLDER,,1
M1,R61,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
M1,R62,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MountingHole,H5,MountingHole_2.2mm_M2,,1
SW_Push,SW1,Button_12mm_ANCHOR_CENTER,,1
u1,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
M1,R64,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1,C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TERM ON OFF,SW2,SW_SPDT_PCM12_handsolder,,1
NUP2105L,D1,SOT-23_Handsoldering,,1
WS2812B,D6,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
MountingHole,H4,MountingHole_2.2mm_M2,,1
WS2812B,D12,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
MountingHole,H1,MountingHole_5mm,,1
WS2812B,D7,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D13,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1/16V,C81,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1/35V,C79,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
k12,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
M1,R63,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
3k3,R49,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
WS2812B,D15,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
WS2812B,D4,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C24,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D14,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1k,R57,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1,C28,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
22u,C84,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
AO6800-HXY,Q3,SOT-23-6_Handsoldering,,1
WS2812B,D10,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C26,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
PowerOutput,J7,PinHeader_1x05_P2.54mm_Vertical,,1
u1,C27,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D5,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
10u,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D16,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
MountingHole,H2,MountingHole_5mm,,1
WS2812B,D17,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
10uH,L4,L_0630,,1
WS2812B,D9,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
MountingHole,H3,MountingHole_2.2mm_M2,,1
u1,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D8,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
56p,C82,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1,C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D2,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
10u/35V,C80,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
AO6800-HXY,Q2,SOT-23-6_Handsoldering,,1
WS2812B,D3,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
10u,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
WS2812B,D11,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R60,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22u,C83,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1k,R56,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
M1,R59,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1k,R58,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
TPS54202DDC,U27,SOT-23-6_Handsoldering,,1
1k,R55,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RotaryEncoder,SW3,Encoder Alps-Alpine EC35,,1
u1,C25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
ToBase,J5,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal_handsolder,,1
74AHCT1G125,U5,SOT-353_SC-70-5_Handsoldering,,1
